These results were obtained with 100 generations of 200 individuals and 0.1 mutation

Generation 8 Bot 170, score = 8615
Generation 8 Bot 180, score = 5886
Generation 8 Bot 190, score = 7140
Generation 9 Bot 0, score = 10440
Generation 9 Bot 10, score = 14735
Generation 9 Bot 20, score = 27795
Generation 9 Bot 30, score = 2850
Generation 9 Bot 40, score = 15976
Generation 9 Bot 50, score = 6986
Generation 9 Bot 60, score = 12403
Generation 9 Bot 70, score = 18055
Generation 9 Bot 80, score = 4756
Generation 9 Bot 90, score = 6555
Generation 9 Bot 100, score = 1891
Generation 9 Bot 110, score = 24610
Generation 9 Bot 120, score = 6086
Generation 9 Bot 130, score = 9045
Generation 9 Bot 140, score = 9791
Generation 9 Bot 150, score = 9416
Generation 9 Bot 160, score = 2775
Generation 9 Bot 170, score = 6105
Generation 9 Bot 180, score = 6770
Generation 9 Bot 190, score = 9730
Generation 10 Bot 0, score = 12190
Generation 10 Bot 10, score = 4560
Generation 10 Bot 20, score = 6316
Generation 10 Bot 30, score = 11981
Generation 10 Bot 40, score = 10440
Generation 10 Bot 50, score = 2556
Generation 10 Bot 60, score = 16390
Generation 10 Bot 70, score = 5878
Generation 10 Bot 80, score = 8778
Generation 10 Bot 90, score = 9830
Generation 10 Bot 100, score = 6216
Generation 10 Bot 110, score = 3855
Generation 10 Bot 120, score = 10831
Generation 10 Bot 130, score = 3103
Generation 10 Bot 140, score = 10111
Generation 10 Bot 150, score = 10396
Generation 10 Bot 160, score = 21921
Generation 10 Bot 170, score = 16753
Generation 10 Bot 180, score = 32996
Generation 10 Bot 190, score = 3403
Generation 11 Bot 0, score = 25978
Generation 11 Bot 10, score = 8228
Generation 11 Bot 20, score = 41916
Generation 11 Bot 30, score = 6328
Generation 11 Bot 40, score = 23055
Generation 11 Bot 50, score = 8911
Generation 11 Bot 60, score = 5986
Generation 11 Bot 70, score = 3240
Generation 11 Bot 80, score = 10885
Generation 11 Bot 90, score = 10596
Generation 11 Bot 100, score = 16753
Generation 11 Bot 110, score = 15953
Generation 11 Bot 120, score = 16871
Generation 11 Bot 130, score = 10685
Generation 11 Bot 140, score = 4016
Generation 11 Bot 150, score = 4950
Generation 11 Bot 160, score = 4756
Generation 11 Bot 170, score = 14665
Generation 11 Bot 180, score = 14496
Generation 11 Bot 190, score = 21621
Generation 12 Bot 0, score = 5253
Generation 12 Bot 10, score = 20000
Generation 12 Bot 20, score = 12561
Generation 12 Bot 30, score = 5251
Generation 12 Bot 40, score = 5151
Generation 12 Bot 50, score = 8001
Generation 12 Bot 60, score = 13466
Generation 12 Bot 70, score = 11425
Generation 12 Bot 80, score = 8515
Generation 12 Bot 90, score = 5671
Generation 12 Bot 100, score = 4851
Generation 12 Bot 110, score = 5151
Generation 12 Bot 120, score = 3655
Generation 12 Bot 130, score = 5151
Generation 12 Bot 140, score = 3916
Generation 12 Bot 150, score = 17678
Generation 12 Bot 160, score = 3941
Generation 12 Bot 170, score = 7260
Generation 12 Bot 180, score = 2346
Generation 12 Bot 190, score = 11126
Generation 13 Bot 0, score = 33611
Generation 13 Bot 10, score = 8911
Generation 13 Bot 20, score = 6316
Generation 13 Bot 30, score = 17391
Generation 13 Bot 40, score = 8646
Generation 13 Bot 50, score = 8128
Generation 13 Bot 60, score = 11026
Generation 13 Bot 70, score = 12920
Generation 13 Bot 80, score = 9416
Generation 13 Bot 90, score = 6641
Generation 13 Bot 100, score = 12346
Generation 13 Bot 110, score = 14028
Generation 13 Bot 120, score = 23520
Generation 13 Bot 130, score = 11325
Generation 13 Bot 140, score = 11776
Generation 13 Bot 150, score = 10831
Generation 13 Bot 160, score = 9553
Generation 13 Bot 170, score = 7926
Generation 13 Bot 180, score = 9516
Generation 13 Bot 190, score = 14806
Generation 14 Bot 0, score = 5778
Generation 14 Bot 10, score = 8356
Generation 14 Bot 20, score = 6886
Generation 14 Bot 30, score = 2926
Generation 14 Bot 40, score = 16290
Generation 14 Bot 50, score = 38426
Generation 14 Bot 60, score = 14465
Generation 14 Bot 70, score = 7726
Generation 14 Bot 80, score = 22666
Generation 14 Bot 90, score = 11175
Generation 14 Bot 100, score = 24731
Generation 14 Bot 110, score = 14935
Generation 14 Bot 120, score = 8256
Generation 14 Bot 130, score = 9730
Generation 14 Bot 140, score = 4853
Generation 14 Bot 150, score = 8228
Generation 14 Bot 160, score = 13303
Generation 14 Bot 170, score = 8456
Generation 14 Bot 180, score = 9830
Generation 14 Bot 190, score = 16131
Generation 15 Bot 0, score = 30581
Generation 15 Bot 10, score = 11576
Generation 15 Bot 20, score = 4853
Generation 15 Bot 30, score = 13303
Generation 15 Bot 40, score = 29846
Generation 15 Bot 50, score = 6316
Generation 15 Bot 60, score = 17391
Generation 15 Bot 70, score = 4660
Generation 15 Bot 80, score = 14128
Generation 15 Bot 90, score = 6786
Generation 15 Bot 100, score = 12503
Generation 15 Bot 110, score = 3916
Generation 15 Bot 120, score = 8646
Generation 15 Bot 130, score = 8646
Generation 15 Bot 140, score = 10253
Generation 15 Bot 150, score = 25525
Generation 15 Bot 160, score = 13203
Generation 15 Bot 170, score = 11375
Generation 15 Bot 180, score = 8911
Generation 15 Bot 190, score = 9970
Generation 16 Bot 0, score = 7140
Generation 16 Bot 10, score = 7850
Generation 16 Bot 20, score = 15600
Generation 16 Bot 30, score = 6216
Generation 16 Bot 40, score = 6105
Generation 16 Bot 50, score = 7726
Generation 16 Bot 60, score = 15500
Generation 16 Bot 70, score = 19310
Generation 16 Bot 80, score = 3603
Generation 16 Bot 90, score = 14635
Generation 16 Bot 100, score = 9970
Generation 16 Bot 110, score = 46556
Generation 16 Bot 120, score = 8778
Generation 16 Bot 130, score = 8746
Generation 16 Bot 140, score = 12503
Generation 16 Bot 150, score = 10011
Generation 16 Bot 160, score = 22455
Generation 16 Bot 170, score = 3160
Generation 16 Bot 180, score = 23105
Generation 16 Bot 190, score = 5886
Generation 17 Bot 0, score = 8001
